Mullus barbatus
Kuhlia sandvicensis
Miopithecus talapoin
Bombus terrestris sassaricus
Hymenodora frontalis
Limenitis archippus floridensis
Neoniphon sammara
Pagurus pollicaris
Hepatus epheliticus
Ictalurus punctatus
Bythograea thermydron
Bodianus bilunulatus
Benthalbella infans
Phodopus sungorus
Hemigrapsus sanguineus
Rhinocheilus lecontei
Eulemur fulvus
Melanonus zugmayeri
Partamona helleri
Hemigrapsus edwardsii
Cymatogaster aggregata
Rhinella [=Bufo] marinus
Rouleina attrita
Uca thayeri
Hermetia illucans
Ostorhinchus Cookii
Sardinops sagax
Sesarma cinereum
Melanotaenia maccullochi
Copadichromis borleyi
Naso unicornis
Antherea polyphemus
Hydrolagus mirabilis
Leuroglosus stilbius
Carabus nemoralis
Calypteryx splendens and virgo
Anas playrhnchos domesticus
Brachyistius frenatus
Psychrolutes paradoxus
Tenthredo campestris
Galleria mellonella
Liparis florae
Photinus scintillans
Micrometrus minimus
Batrachocottus nikolskii
Nephrops norvegicus
Bicellonycha wickershamorum
Gekko gecko
Ballerus ballerus
Pieris rapae
Peprilus stimillimus
Chauliodus macouni
Haplochromis burtoni
Jordanella floridae
Anolis carolinensis
Arenaeus cribrarius
Cirrhilabrus solorensis
Otus asio
Streptopelia roseogrisea
Uca pugnax
Bero elegance
Diaphus rafinesqueii
Cyprinus carpio
Podothecus acipenserinus
Tenebrio molitor
Neogonodactylus curacaoensis
Sebastes empaeus
Leptograspus variegatus
Hemidactylus platyurus
Pseudotropheus  acei
Clevelandia ios
Cyrtodiopsis dalmanni
Comephorus dybowskii
Zonotrichia leucophrys
Portunus spinimanus
Gecarcinus lateralis
Comephorus baicalensis
Palaemonetes paladosus
Hexagrammos octagrammus
Limnocottus eurystomus
Acyrthosiphon pisum
Cydia strobilella
