Aphanopus  carbo
Enophrys diceraus
Geoclemys reevesii
Lethrinops parvidens
Papilo bianor
Parvus  caeruleus
Gadus macrocephalus
Stomias boa
Metriaclima barlowi
Leptotyphlops sp.
Vespula germanica
Sphyraena barracuda
Lemur catta
Puffinus pacificus
Theragra chalcogramma
Micropoecilia parae
Eustomias obscurus
Limenitis archippus astyanax
Cataglyphis aenescens
Notonecta glauca
Dimecoenia spinosa
Pleuronectes platessa
Orconectes virilis
Gennadas sp.
Sardinops sagax
Anguilla bicolor
Neogonodactylus oerstedii
Lucilia (Phaenicia) serricata
Alburnus alburnus
Haplochromis burtoni
Vespo crabro
Liparis pulchellus
Gecarcinus lateralis
Hyperoplus lanceolatus
Lycaena heteronea
Bombus terrestris sassaricus
Carabus auratus
Oncorhynchus gorbuscha
Sebastes auriculatus
Dasycottus setiger
Gasterosteus sp.
Lepilemur ruficaudatus
Hemicordulia tau
Corixa punctata
Alepocephalus australis
Toxotes chatareus
Argiope amoena
Danaus plexipus
Coroebus undatus
Limnocottus griseus
Dromiceius novae-hollandiae
Kuhlia sandvicensis
Leptidae amurensis
Embiotoca lateralis
Eutrigla gurnardus
Libellula pulchella
Chelonia mydas
Bentheogennema intermedia
Parantica sita
Bombus terrestris dalmatinus
Phassus excrescens
Tyrannochromis macrostoma
Photinus macdermotti
Archaeopropona demophon
Acanthephyra stylorostratis
Gonostoma bathyphilium
Spirinchus thaleichthys
Dolichonyx orzivorous
Gymnothorax reticularis
Raja binoculata
Zebrasoma velifer
Cyprinus carpio
Gasterosteus aculeatus
Mysis relicta
Zanclus cornutus
Epigonus  telescopus
Zoramia  Leptacanthus
Pomatoschistus microps
Polygonia c-album
Lethrus apterus
Photostomias braueri
Cynotilapia afra
Pergavor aspricaudus
Neoniphon argenteus
