Panulirus argus
Clevelandia ios
Plectroglyphidodon johnstonianus
Pyrophorus punctatissimus
Danio aequipinnatus
Apogon kallopterus
Comephorus baicalensis
Rhinella [=Bufo] marinus
Trichoplusia ni
Acipenser transmontanus
Chlorops sp.
Lasioderma serricorne
Tyrannochromis macrostoma
Borostomias panamensis
Valenciennellus tripunctulatus
Spinachia spinachia
Cottus kessleri
Raja binoculata
Haplochromis ishmaeli
Sygnathus leptorhynchus
Benthalbella infans
Anguilla anguilla
Anguilla japonica
Ronquilus jordani
Sus scrofa
Istiophorus  platypterus
Saimiri sciureus
Rangifer tarandus
Spalacopus cyanus
Philanthus triangulum
Bombus impatiens
Cirrhilabrus solorensis
Limnocottus pallidus
Pundamilia red head
Cyprinus carpio
Sergestes tenuiremis
Oncorhynchus keta
Oryctolagus cuniculus
Conocara macroptera
Romalea microptera
Parupeneus multifasceatus
Cheirogaleus major
Benthalbella  infans
Acanthropagrus major
Otolemus cassicaudatus
Cambarus ludovicianus
Phalacrocorax carbo
Spodoptera exempta
Oncorhynchus gorbuscha
Scorpaenichthys marmoratus
Gilbertidia sigalutes
Bufo bufo
Aristostomias tittmanni
Glossina moritans moritans
Bombus terrestris terrestris
Metriaclima melabranchion
Pervagor spilosoma
Aulorhynchus flavidus
Colias erate
Rhacochilus vacca
Diaphus dumerilli
Lonchura maga
Pleuronectes obscurus
Pseudopleuronectes obscurus
Ceratoscopelus warmingii
Anax junius
Puffinus pacificus
Micrometrus minimus
Tribolodon hakonensis
Hoplostethus mediteranus
Gecarcinus lateralis
Antheraea polyphemus
Lutjanus quinquelineatus
Myripristis violacea
Dromiceius novae-hollandae
Microstomus kitt
Neoniphon argenteus
Asprocottus herzensteini
Loligo subulata
Tramitichromis intermedius
Anadevidia peponis
Malacosteus niger
