Carabus auratus
Anolis carolinensis
Pullosquilla thomassini
Merluccius merluccius
Meriones unguiculatus
Bombus terrestris sassaricus
Perca fluviatilis
Dolichonyx orzivorous
Stomias boa
Bodianus bilunulatus
Mysis salemaai
Photonectes braueri
Lissotriton vulgaris
Corvus  frugilegus
Menippe mercenaria
Diaphus lucidus
Formica polyctena
Lampanyctus festivus
Speyeria leto
Simulium sp.
Coryphaenoides profundicolus
Toxomerus marginatus
Gobius paganellus
Clupea harengus
Liparis dennyi
Mysis  sp.
Neotrygon kuhlii
Daubentonia madagascariensis
Papilio maackii
Albula vulpes
Salmo trutta
Cavia porcellus
Centropristis striata
Homarus gammarus
Sarda chiliensis
Osmerus dentex
Parapasiphaea sulcatifrons
Chirolophis japonicus
Oeneis chryxus
Polistes dominulus
Chaetodon unimaculatus
Dugesia japonica
Plectroglyphidodon johnstonianus
Lepidopsetta polyxystra
Porichthys notatus
Haplochromis burtoni
Periplaneta americana
Zalembius rosaceus
Chiasmodon niger
Lucidina biplagiata
Aptychotrema vincentiana
Limnocottus bergianus
Embiotoca lateralis
Caranx hippos
Ostracion meleagris
Microstoma microstoma
Trichechus manatus
Melanostigma pammelas
Metriaclima livingstonii
Acantholumpenus mackayi
Gonodactylaceus falcatus
Bentheogennema pasithea
Photuris potomaca
Malacocephalus laevis
Barbantus curvifrons
Neomysis americana
Hippocampus barbouri
Cottus gobio
Chamaeleo dilepis
Todarodes pacificus
Camponotus abdominalis
Bathysaurus ferox
Melamphaes suborbitalis
Scopelarchus analis
Heliconius numata
Salmo irideus
Plesiopenaeus armatus
Lycaena phlaeas
Aulostomus chinensis
Spermophilus tridecemlineatus
Chauliodus sloanei
Haplochromis piceatus
Delia radicum
Acartia tonsa
Istiophorus  platypterus
Cottocomephorus grewingkii
Inachis io
