Dardanus fucosus
Photuris potomaca
Gonodactylellus affinis
Pavo  cristatus
Papilio aegeus
Taurulus bubalis
Galago crassicauda
Drosophilia melanogaster
Batrachocottus nicolskii
Gobiesox maecmdricus
Hippocampus barbouri
Lissotriton vulgaris
Bombus terrestris dalmatinus
Aphanopus  carbo
Zanclus cornutus
Melanochromis  vermivorus
Lumpenus sagitta
Serrivomer lanceolatoides
Ichneumon spp.
Bothragonus  swani
Microstomus kitt
Limenitis weidemeyerii
Sarda chiliensis
Puffinus pacificus
Lutzomyia longipalpis
Benthalbella infans
Thysanoessa raschii
Phytichthys chirus
Rhithropanopeus harrisii
Luicola cruciata
Vulpes lagopus
Sargocentron spiniferum
Melopsittacus undatus
Mantispa styriaca
Melamphaes suborbitalis
Chirolophis japonicus
Anguilla japonica
Ronquilus jordani
Crangon allmani
Abudefduf abdominalis
Geomys bursarius
Micrometrus aurora
Papio papio
Nautichthys oculofasciatus
Paracottus knerii
Peprilus stimillimus
Metynnis argenteus
Python regius
Melanochromus vermivorous
Sargocentron microstoma
Carollia perspicillata
Haptosquilla trispinosa
Gennadas sp.
Formica polyctena
Dimidiochromis compressiceps
Margrethia obtusirostra
Hypsiglena torquata
Porichthys notatus
Neomysis americana
Conocara salmonea
Heliothis virescens
Eigenmannia virescens
Scylla serrata
Acanthephyra curtirostris
Periplaneta americana
Diaphus rafinesquei
Pasiphaea multidentata
Tenebrio molitor
Sasakia charonda
Platichthys flesus
Phalacrocorax carbo
Tarentola chazaliae
Haplochromis azurea
Thylamys elegans
Nomada alboguttata
Coryphaenoides leptolepis
Rhagoph-thalmus ohbai
Scenopoetes dentirostris
Bombyx mandarina
Plectroglyphidodon johnstonianus
Bathylagus bericoides
Heliothis zea
Scomber japonicus
Bombus monticola
Haplochromis pyrrhocephalus
