Anas platyrhynchos domesiticus
Borostomias elucens
Dromiceius novae-hollandae
Heliothis zea
Abramis brama
Loris tardigradus
Penaeus duororum
Caranx hippos
Aulonocara hueseri
Bathylagus bericoides
Anas  platyrhynchos
Papilio xuthus
Cynops pyrrhogaster
Pullosquilla litoralis
Serinus canaria
Libelloides macaronius
Megalocottus platycephalus
Coregonus lavaretus
Lates calcarifer
Ictalurus punctatus
Calappa flammea
Metriaclima benetos
Photostylus sp.
Chirostomias pliopterus
Lutjanus malabaricus
Rhizoprionodon taylori
Oncorhynchus mykiss
Capra hircus
Pundamilia au
Spheniscus humboldti
Anolis grahami
Nasua nasua
Sternoptyx pseudobscura
Gobius niger
Chiasmodon niger
Eristalis arbustorum
Argyropelecus aculeatus
Bombus terrestris terrestris
Stylephorus chordatus
Arizona elegans
Dineutus ciliatus
Chamaeleo dilepis
Limnocottus pallidus
Atherina boyeri
Blepsias cirrhosus
Chaetodon unimaculatus
Gennadas valens
Trichechus manatus
Octodon degus
Astacus fluviatus
Sebastes empaeus
Gobiesox maeandricus
Pleuronectes obscurus
Thermonectus maromoratus
Gobius paganellus
Portunus spinimanus
Aptychotrema rostrata
Dasyatis fluviorum
Clinocottus globiceps
Fulgeochlizus bruchii
Chlorocebus aethiops
Gymnocanthus intermedius
Cyrtopodion fedtschenkoi
Toxotes chatareus
Heliconius hecale
Ichneumon stramentarius
Hypsiglena torquata
Tarsius syrichta
Meningodora miccyla
Felis catus
Pagothenia borchgrevinki
Hippocampus subelongatus
Scorpaenichthys marmoratus
Schwarziana sp.
Rhadinesthes decimus
Ictalurus melas
Anolis conspersus
Apodemia mormo
Hemigrapsus edwardsii
Balanus eburneus
Bothragonus  swani
Pavo  cristatus
Ailuroedus crassirostris
Notonecta glauca
Sargocentron spiniferum
Chromis punctipinnis
Hemigraspus edwardsi
Larus atricilla
Cynotilapia afra
